id,name,TMDB_ID,year,genre
333,The Affair,/tv/61463,2014,Drama
334,Gomorrah,/tv/61068,2014,"Crime, Drama"
335,Bosch,/tv/60585,2015,"Mystery, Drama, Crime"
336,Shadowhunters,/tv/63210,2016,"Action & Adventure, Drama, Sci-Fi & Fantasy"
337,13 Reasons Why,/tv/66788,2017,"Drama, Mystery"
338,Iron Fist,/tv/62127,2017,"Action & Adventure, Drama, Sci-Fi & Fantasy"
339,The Defenders,/tv/62285,2017,"Sci-Fi & Fantasy, Action & Adventure, Crime"
340,Shooter,/tv/66857,2016,"Action & Adventure, War & Politics, Drama"
341,Pistol,/tv/132159,2022,Drama
342,Breeders,/tv/93290,2020,"Comedy, Family"
344,The Boys,/tv/76479,2019,"Sci-Fi & Fantasy, Action & Adventure"
345,Physical,/tv/119181,2021,"Comedy, Drama"
346,Roswell,/tv/4624,1999,"Sci-Fi & Fantasy, Drama"
347,Irma Vep,/tv/115626,2022,"Comedy, Drama"
348,In the Dark,/tv/85727,2019,"Drama, Comedy"
349,Warrior Nun,/tv/87689,2020,"Action & Adventure, Drama, Sci-Fi & Fantasy"
350,All Rise,/tv/90872,2019,"Drama, Crime"
351,Once Upon a Time in Londongrad,/tv/203226,2022,Documentary
352,The Orville,/tv/71738,2017,"Drama, Comedy, Sci-Fi & Fantasy"
353,Intelligence,/tv/88110,2020,Comedy
354,For All Mankind,/tv/87917,2019,"Drama, Sci-Fi & Fantasy, War & Politics"
355,First Kill,/tv/111616,2022,"Drama, Mystery"
356,Conversations with Friends,/tv/99747,2022,Drama
357,Des,/tv/96628,2020,"Crime, Drama"
358,Disenchantment,/tv/73021,2018,"Animation, Comedy, Action & Adventure, Sci-Fi & Fantasy"
359,George Carlins American Dream,/tv/201123,2022,Documentary
360,Evil,/tv/86848,2019,Drama
361,Intimacy,/tv/123534,2022,"Drama, Mystery"
362,Becoming Elizabeth,/tv/198085,2022,Drama
363,Dark Winds,/tv/128904,2022,"Crime, Drama"
364,Top Gear,/tv/45,2002,"Documentary, Reality, Talk"
365,Love Victor,/tv/97186,2020,"Comedy, Drama"
366,Ms. Marvel,/tv/92782,2022,"Sci-Fi & Fantasy, Action & Adventure, Comedy"
367,Sherwood,/tv/155243,2022,"Crime, Mystery"
368,God's Favorite Idiot,/tv/114201,2022,Comedy
369,Tom Swift,/tv/132380,2022,Drama
370,America's Got Talent,/tv/4551,2006,Reality
371,The Old Man,/tv/111800,2022,"Action & Adventure, Drama"
372,The Lazarus Project,/tv/194567,2022,"Sci-Fi & Fantasy, Drama, Action & Adventure"
373,Dead End: Paranormal Park,/tv/158139,2022,"Animation, Kids"
374,Better Call Saul Presents: Slippin' Jimmy,/tv/158704,2022,"Animation, Comedy"
375,Goliath,/tv/67384,2016,"Crime, Drama"
376,The Orbital Children,/tv/138190,2022,"Animation, Action & Adventure, Sci-Fi & Fantasy"
377,Motherland: Fort Salem,/tv/91977,2020,"Sci-Fi & Fantasy, Drama"
378,Money Heist: Korea ,/tv/112836,2022,"Action & Adventure, Crime, Drama, Mystery"
379,Man vs. Bee,/tv/197588,2022,"Comedy, Family"
380,The Chi,/tv/72071,2018,Drama
381,The Summer I Turned Pretty,/tv/194766,2022,Drama
382,The Umbrella Academy,/tv/75006,2019,"Action & Adventure, Sci-Fi & Fantasy, Drama"
383,Loot,/tv/197449,2022,Comedy
384,Who Killed Sara?,/tv/120168,2021,"Drama, Crime, Mystery"
385,So You Think You Can Dance,/tv/3976,2005,Reality
386,The Lake,/tv/158051,2022,"Comedy, Drama"
387,Only Murders in the Building,/tv/107113,2021,"Comedy, Crime, Mystery"
388,Animal Kingdom,/tv/66025,2016,"Crime, Drama"
389,Westworld,/tv/63247,2016,"Sci-Fi & Fantasy, Western"
390,The Outlaws,/tv/136044,2021,"Comedy, Crime, Drama"
391,Prison Break,/tv/2288,2005,"Action & Adventure, Crime, Drama"
392,The Terminal List,/tv/120911,2022,"Action & Adventure, Drama"
393,Baymax,/tv/114466,2022,"Animation, Family"
394,Aoashi,/tv/126437,2022,"Animation, Drama, Comedy"
395,Bad Sport,/tv/133358,2021,"Crime, Documentary"
396,Last Chance U: Basketball,/tv/118876,2021,Documentary
397,The Undeclared War,/tv/156988,2022,"War & Politics, Drama, Sci-Fi & Fantasy"
398,Troppo,/tv/130578,2022,"Crime, Drama"
399,They Call Me Magic,/tv/157002,2022,Documentary
400,The Croods: Family Tree,/tv/132559,2021,"Animation, Family, Action & Adventure"
401,SPY x FAMILY,/tv/120089,2022,"Animation, Comedy, Action & Adventure"
402,Rutherford Falls,/tv/93748,2021,Comedy
403,Power Book III: Raising Kanan,/tv/124394,2021,Drama
404,Transporter: The Series,/tv/39497,2012,"Action & Adventure, Crime, Drama"
405,Black Bird,/tv/155537,2022,"Drama, Crime"
406,Moonhaven,/tv/125398,2022,Sci-Fi & Fantasy
407,Marvel Studios: Legends,/tv/114695,2021,"Documentary, Action & Adventure, Sci-Fi & Fantasy"
408,Control Z,/tv/102903,2020,Drama
409,Boo Bitch,/tv/132188,2022,"Comedy, Sci-Fi & Fantasy"
410,Fatma,/tv/123138,2021,"Crime, Drama"
412,Them,/tv/120462,2021,"Drama, Mystery"
413,Hit-Monkey,/tv/133903,2021,"Action & Adventure, Animation"
414,Santa Inc.,/tv/103214,2021,"Comedy, Animation"
415,The Nevers,/tv/80828,2021,"Sci-Fi & Fantasy, Drama"
416,The Falcon and the Winter Soldier,/tv/88396,2021,"Action & Adventure, Drama"
417,Stargirl,/tv/80986,2020,"Sci-Fi & Fantasy, Action & Adventure, Drama"
418,Gangs of London,/tv/85021,2020,"Crime, Drama"
419,Spy City,/tv/113828,2020,"Drama, War & Politics"
420,Ragnarok,/tv/91557,2020,"Sci-Fi & Fantasy, Drama, Mystery"
421,Mind Over Murder,/tv/203282,2022,"Documentary, Crime"
422,Inhumans,/tv/68716,2017,"Drama, Sci-Fi & Fantasy, Action & Adventure"
423,Big Mouth,/tv/74204,2017,"Comedy, Animation"
424,Big Little Lies,/tv/66292,2017,Drama
425,Taboo,/tv/65708,2017,"Drama, Mystery"
426,American Gods,/tv/46639,2017,"Drama, Mystery, Sci-Fi & Fantasy"
427,Godless,/tv/73467,2017,"Western, Drama"
428,The Sinner,/tv/39852,2017,"Crime, Drama"
429,What We Do in the Shadows,/tv/83631,2019,Comedy
