id,a_id,movie_name,year,torrent_id,quality
2097,1226,Grandma,2015,0804DC38665063A1203419A345DBC38A352111F0,1080p BluRay
2098,1227,Heist,2015,F2156544E7EBA2E627851F1E3A55108E5B461E84,720p BluRay
2099,1227,Heist,2015,068FA634DBFD4D4ABB2D4AC709357C56A650CD67,1080p BluRay
2100,1228,Hitman: Agent 47,2015,696F86534A2D6EC8544A9A7EFD4FB89330A6323E,720p BluRay
2101,1228,Hitman: Agent 47,2015,C0602E072C816A780A9AEBE1066A4BD5CE4D3F95,1080p BluRay
2102,1229,Home,2015,C472350C91B9A1EF610DD777D1E30CFE7F05190E,3D BluRay
2103,1229,Home,2015,89808625AEBA5938A22A04417D80B9F591919DF1,720p BluRay
2104,1229,Home,2015,F07C2A0B3CE09ACB4C72611CF108B77C7D967949,1080p BluRay
2105,1230,In the Heart of the Sea,2015,7B3B3E29D8D6F8CAE026843B15C6E369CFB20935,3D BluRay
2106,1230,In the Heart of the Sea,2015,33594F525563C3E885AF1573C5A6ADB1200C4C4D,720p BluRay
2107,1230,In the Heart of the Sea,2015,85F60DCA65082F5EF4D45CD6732AB1FC34A42E22,1080p BluRay
2108,1231,Insurgent,2015,4B9F417AD8F79E60B76E2FD1616546BEC673D31B,3D BluRay
2109,1231,Insurgent,2015,12833D8E2B2007B7E2C30490FC8892912FE8423F,720p BluRay
2110,1231,Insurgent,2015,6AB9E319C6414F4800FEB05AFBB84111A671C8E1,1080p BluRay
2111,1233,Irrational Man,2015,DB68AFB0D2E71CB6C3CFAEF26C4081DECED88561,720p BluRay
2112,1233,Irrational Man,2015,CC6269F0AD8A2DABD767191DD01CDE9C3CBA3C86,1080p BluRay
2113,1234,Captain America: The First Avenger,2011,D19276E444F84EB8889F1C15145C3F1C245263E7,3D BluRay
2114,1234,Captain America: The First Avenger,2011,907C44FABBB0A57A169B6FF465579ED69EEC71FF,720p BluRay
2115,1234,Captain America: The First Avenger,2011,25AA732E39DB228AA7989EE66CC487C914AEBF40,1080p BluRay
2116,1234,Captain America: The First Avenger,2011,8D921398C2D0E6BE52E4547E337F9E8CF4269460,2160p BluRay
2117,1235,Captain America: The Winter Soldier,2014,78D18EC3D3932A499D7D10587D41F9FF864E2099,3D BluRay
2118,1235,Captain America: The Winter Soldier,2014,FC49A628946FAD524E99E1DCC0082842D8695DAE,720p BluRay
2119,1235,Captain America: The Winter Soldier,2014,04A8C73349E0FE148557C3A9BA8482E0AA67AD49,1080p BluRay
2120,1235,Captain America: The Winter Soldier,2014,7C22A137CB0C43B6F5F145039F5FD9B43B8D449E,2160p BluRay
2121,1236,Jane Got a Gun,2015,D4E9F15ECEB98992C6A4E50E3EDBA09A77C9B583,720p BluRay
2122,1236,Jane Got a Gun,2015,FB694D472A79107D93A442E509D5E4111CF52CED,1080p BluRay
2123,1237,Jupiter Ascending,2015,A19321542E128C6D3896BF8D49EBC0565FB1004D,3D BluRay
2124,1237,Jupiter Ascending,2015,5F429360D884B7A6E0A59F555C9CA4380980F13F,720p BluRay
2125,1237,Jupiter Ascending,2015,832CB0F2C09076D5688CEA5AB82E6EA6AC066AA1,1080p BluRay
